system,id,deck,category,question,expected,gold_slides,generated,label,faithful,reason,abstained,context_hit,citations,retrieval_rounds,latency_s,error
baseline,sv-11,sensovision,numeric,How many parts has the system inspected?,Over 500 million parts inspected,6,"The system has inspected over 500M+ parts (deck, slide 6).",correct,True,The answer accurately reflects the information provided in the retrieved context regarding the number of parts inspected.,False,1.0,3,1,1.5862248000048567,
baseline,sv-12,sensovision,numeric,What does the cap table look like?,"Founders 80.8%, seed investor 9.9%, employee ESOPs 9.3%",21,"Founders hold 80.8% equity, the Seed Investor holds 9.9% equity, and Employee ESOPs account for 9.3% equity (deck, slide 21).",correct,True,The system answer accurately reports the cap table breakdown provided in the retrieved context for SensoVision.,False,1.0,4,1,1.4738401000213344,
corrective,sv-01,sensovision,numeric,What is SensoVision's total addressable market for global AI vision?,$8.7 billion,3,"The Total Addressable Market (TAM) for the global AI vision market is $8.7B (deck, slide 3).",correct,True,The system correctly identified the TAM from the retrieved context and cited the source slide accurately.,False,1.0,4,1,3.6255239000020083,
corrective,sv-02,sensovision,numeric,What is the serviceable available market for India?,$278 million,3,"The Serviceable Available Market (SAM) for India is $278M (sensovision, slide 3).",correct,True,The system correctly identified the SAM for India from the provided context.,False,1.0,4,1,3.7034284000110347,
corrective,sv-03,sensovision,numeric,What is the FY25 serviceable obtainable market target?,"$2M, about 0.72% of the SAM",3,"The FY25 Serviceable Obtainable Market (SOM) target is $2M (~0.72%) (sensovision, slide 3).",correct,True,The system answer matches the reference answer and is fully supported by the retrieved context.,False,1.0,3,1,3.1516547999926843,
corrective,sv-04,sensovision,numeric,How much in deals has SensoVision closed so far in FY 24-25?,Rs 11.5 Cr to date,10,"Deals closed in FY 24-25 stand at ₹ 11.5 Cr till date (sensovision, slide 10).",correct,True,"System accurately states Rs 11.5 Cr closed to date, matching both reference and context.",False,1.0,3,1,4.074921799998265,
corrective,sv-05,sensovision,numeric,How much does SensoVision expect to close by the end of FY 24-25?,Rs 16 Cr,10,"SensoVision expects to close ₹ 16 Cr by the end of FY 24-25 (sensovision, slide 10).",correct,True,"The system correctly states that SensoVision expects to close ₹ 16 Cr by the end of FY 24-25, matching the reference and context.",False,1.0,3,1,3.4373304000182543,
corrective,sv-06,sensovision,numeric,What were total sales in FY23-24?,Rs 7.2 Cr,10,"FY23-24 Total Sale was ₹ 7.2 Cr (sensovision, slide 10).",correct,True,"The system answer correctly states total sales for FY23-24 as ₹ 7.2 Cr, matching both the reference and the retrieved context.",False,1.0,3,1,3.0714774999942165,
corrective,sv-07,sensovision,numeric,"How is the funding ask allocated across R&D, market expansion and operations?","R&D and AI development Rs 6.4 Cr, market expansion and sales Rs 6.4 Cr, operations and scaling Rs 3.2 Cr",13,"The funding ask is allocated as follows: R&D & AI Development receives ₹6.4 Cr (40%), Market Expansion & Sales receives ₹6.4 Cr (40%), and Operations & Scaling receives ₹3.2 Cr (20%) (sensovision, slide 13).",correct,True,The system accurately provides the fund allocation details matching the reference and context.,False,1.0,4,1,3.9730732000025455,
corrective,sv-08,sensovision,factual,"Who is the CEO and founder, and what is their background?","Vikram Jain, B.Tech Electrical from IIT Delhi, 14+ years experience, ex-DRDO scientist and former founder of Gravite Eduventure",14,,,False,,False,0.0,0,0,3.8746806000126526,"RuntimeError: all models failed: ('gemini-3.1-pro-preview', 'gemini-pro-latest', 'gemini-3.6-flash', 'gemini-3.5-flash', 'gemini-3-flash-preview', 'gemini-flash-latest', 'gemini-3.7-flash', 'gemini-3.5-flash-lite', 'gemini-3.1-flash-lite', 'gemini-3.1-flash-lite-preview', 'gemini-flash-lite-latest')"
corrective,sv-09,sensovision,factual,Who is the COO and where did they study?,"Manu George, COO and co-founder, IIM-B, 8+ years experience",14,,,False,,False,0.0,0,0,0.506810899998527,"RuntimeError: all models failed: ('gemini-3.1-pro-preview', 'gemini-pro-latest', 'gemini-3.6-flash', 'gemini-3.5-flash', 'gemini-3-flash-preview', 'gemini-flash-latest', 'gemini-3.7-flash', 'gemini-3.5-flash-lite', 'gemini-3.1-flash-lite', 'gemini-3.1-flash-lite-preview', 'gemini-flash-lite-latest')"
corrective,sv-10,sensovision,numeric,How many machines had been installed by FY24 and how many new orders are there?,150 machines installed till FY24 and 31 new orders to date,11,,,False,,False,0.0,0,0,1.133351299999049,"RuntimeError: all models failed: ('gemini-3.1-pro-preview', 'gemini-pro-latest', 'gemini-3.6-flash', 'gemini-3.5-flash', 'gemini-3-flash-preview', 'gemini-flash-latest', 'gemini-3.7-flash', 'gemini-3.5-flash-lite', 'gemini-3.1-flash-lite', 'gemini-3.1-flash-lite-preview', 'gemini-flash-lite-latest')"
corrective,sv-11,sensovision,numeric,How many parts has the system inspected?,Over 500 million parts inspected,6,,,False,,False,0.0,0,0,0.6597640000109095,"RuntimeError: all models failed: ('gemini-3.1-pro-preview', 'gemini-pro-latest', 'gemini-3.6-flash', 'gemini-3.5-flash', 'gemini-3-flash-preview', 'gemini-flash-latest', 'gemini-3.7-flash', 'gemini-3.5-flash-lite', 'gemini-3.1-flash-lite', 'gemini-3.1-flash-lite-preview', 'gemini-flash-lite-latest')"
corrective,sv-12,sensovision,numeric,What does the cap table look like?,"Founders 80.8%, seed investor 9.9%, employee ESOPs 9.3%",21,,,False,,False,0.0,0,0,0.34367349999956787,"RuntimeError: all models failed: ('gemini-3.1-pro-preview', 'gemini-pro-latest', 'gemini-3.6-flash', 'gemini-3.5-flash', 'gemini-3-flash-preview', 'gemini-flash-latest', 'gemini-3.7-flash', 'gemini-3.5-flash-lite', 'gemini-3.1-flash-lite', 'gemini-3.1-flash-lite-preview', 'gemini-flash-lite-latest')"
